Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
PRENTISS,ALBERTA,3025297,41784,71353,ZPS,52.43,-113.6,522600000,-1133600000,965,2003,2021,2003,2021,2003,2021,2003,2007
LACOMBE CDA 2,ALBERTA,3023722,10906,71242,WQQ,52.45,-113.76,522656006,-1134521005,860,1993,2021,1994,2021,1993,2021,1996,2007
FORESTBURG PLANT SITE,ALBERTA,3012652,1884,,,52.47,-112.12,522802933,-1120712933,662.9,1967,2020,,,1967,2020,1967,2007
NORDEGG CS,ALBERTA,3054843,30543,71060,XND,52.49,-116.04,522931090,-1160224000,1332,2000,2021,2001,2021,2000,2021,2000,2007
DONALDA SOUTH,ALBERTA,3012095,30433,,,52.52,-112.35,523100000,-1122104000,741.5,2000,2016,,,2000,2016,2000,2007
LEEDALE AGDM,ALBERTA,3023740,43561,71565,NLD,52.55,-114.47,523311000,-1142821000,947,2004,2021,2004,2021,2005,2021,2005,2007
FORESTBURG AGCM,ALBERTA,3012653,46130,71674,PFO,52.55,-112.12,523254005,-1120724003,721,2007,2021,2007,2021,2007,2021,,
BELLSHILL AGCM,ALBERTA,3010650,46128,71010,PBL,52.58,-111.47,523456007,-1112755007,721,2007,2021,2007,2021,2007,2021,,
HUGHENDEN AGCM,ALBERTA,3013362,46908,71794,PHU,52.58,-110.78,523441007,-1104701004,703,2007,2021,2008,2021,2007,2021,2007,2007
RIBSTONE SOUTH AGCM,ALBERTA,3015480,46812,71089,PRS,52.59,-110.34,523513003,-1102034005,644,2007,2021,2008,2021,2007,2021,2007,2007
CRESTOMERE AGCM,ALBERTA,3011892,47069,71380,PCC,52.73,-113.9,524358005,-1135410007,855,2008,2021,2008,2021,2008,2021,,
FERINTOSH AGCM,ALBERTA,3012590,46733,71673,PFA,52.74,-112.86,524437009,-1125128009,795,2007,2021,2008,2021,2007,2021,2007,2007
DAKOTA WEST,ALBERTA,3011953,1857,,,52.75,-113.95,524500000,-1135700000,865.2,1963,2016,,,1963,2016,1963,2007
SEDGEWICK TOWN,ALBERTA,3015808,1974,,,52.78,-111.7,524700000,-1114200000,662.9,1987,2016,,,1987,2016,1987,2007
EDGERTON AGCM,ALBERTA,3012192,46129,71360,PEA,52.78,-110.43,524640001,-1102558002,649,2007,2021,2007,2021,2007,2021,,
ROSALIND AGCM,ALBERTA,3015600,46847,71202,PRL,52.79,-112.42,524732170,-1122520530,712,2007,2021,2008,2021,2007,2021,2007,2007
