date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-06-22,25.58542934,32.83463432,14.49840996,0,42.64238223,0,36.67244872,0,33.68748196,0,8.528476446,17.90980054,0
2020-06-23,66.4244186,35.26234568,0,40.18267298,0,0,0,0,39.36261843,0,3.280218203,82.00545507,0
2020-06-24,26.49079706,18.25717095,15.39330099,0,0,0,0,0,35.7983744,0,4.653788672,18.25717095,0
2020-06-25,27,27,27,0,0,0,67.5,1350,27,0,13.5,0,0
2020-06-26,33.27552136,21.75707166,12.3716682,42.66092482,0,0,30.28925662,0,39.24805083,0,10.6652312,29.00942888,0
2020-06-27,32.81546494,39.68381807,28.99971321,24.42081112,76.31503475,0,0,0,30.5260139,0,15.26300695,16.0261573,0
2020-06-28,16.93795672,35.99315803,24.56003724,42.3448918,0,0,13.12691646,0,32.18211776,0,9.739325113,28.3710775,0
2020-06-29,17.5462963,12.53306878,17.5462963,15.03968254,22.55952381,0,10.02645503,0,22.55952381,0,5.013227513,10.02645503,250.6613757
2020-06-30,17.65958165,23.54610886,13.98050214,73.58159019,42.67732231,0,0,0,52.97874494,0,19.13121345,0,0
2020-07-01,55.35441111,53.50926407,25.83205852,46.12867592,0,0,68.27044036,0,121.7797044,0,3.690294074,184.5147037,0
2020-07-02,43.7031275,21.85156375,12.2368757,0,0,0,0,0,39.33281475,0,16.17015717,14.85906335,0
2020-07-03,20.67818388,52.49077446,38.97042347,0,0,0,49.30951541,0,79.53147646,0,5.567203352,24.6547577,0
2020-07-04,31.45461428,52.23712728,0,0,0,0,0,0,56.16895407,0,15.1656176,29.76954566,0
2020-07-05,41.23873992,45.90727652,44.35109765,77.80894325,41.23873992,0,0,0,39.68256106,0,13.22752035,0,0
2020-07-06,53.77109285,40.06473585,43.22774131,35.84739524,62.20577409,0,75.91213109,0,105.4335154,0,9.489016386,0,0
2020-07-07,71.53361345,53.65021008,53.65021008,0,0,0,0,0,152.0089286,0,8.941701681,62.59191176,894.1701681
2020-07-08,25.14238355,35.42790409,30.85656163,0,0,0,0,0,83.42699996,114.2835616,14.85686301,33.14223286,0
2020-07-09,44.59304443,35.1719787,0,27.00705508,0,0,37.05619185,0,62.80710483,0,23.86669984,34.54390766,0
2020-07-10,49.73722222,28.15314465,15.95344864,0,93.84381551,0,0,0,67.56754717,0,14.07657233,0,0
2020-07-11,13.69754433,44.25360475,35.29751808,30.0292318,0,0,21.07314512,0,52.6828628,0,24.23411689,0,0
2020-07-12,18.38403805,40.8534179,24.51205074,114.3895701,204.2670895,0,28.59739253,0,79.6641649,0,22.46937984,87.83484848,0
2020-07-13,50.56124129,38.35680374,40.10029482,34.86982158,0,0,24.40887511,0,83.6875718,174.3491079,19.17840187,24.40887511,0
2020-07-14,31.87501099,21.76830019,0,0,56.75306835,0,51.3109933,0,77.74392924,0,40.42684321,24.87805736,0
2020-07-15,37.36216931,13.76500975,15.73143971,0,43.2614592,0,9.832149819,0,35.39573935,196.6429964,13.76500975,29.49644946,0
2020-07-16,43.30952381,21.6547619,32.48214286,32.48214286,0,0,43.30952381,1082.738095,75.79166667,0,21.6547619,43.30952381,0
2020-07-17,63.28095238,55.37083333,39.55059524,0,0,0,23.73035714,0,47.46071429,0,23.73035714,23.73035714,791.0119048
2020-07-18,60.1015873,15.02539683,0,37.56349206,60.1015873,751.2698413,75.12698413,0,67.61428571,150.2539683,52.58888889,45.07619048,0
2020-07-19,67.64,67.64,0,0,75.15555556,0,60.12444444,0,75.15555556,751.5555556,37.57777778,30.06222222,0
2020-07-20,27.29257139,24.46920194,21.64583248,0,0,0,41.40941866,0,49.87952703,94.11231515,22.58695564,25.41032509,0
2020-07-21,46.51394453,46.51394453,20.67286424,0,0,0,0,0,86.13693431,0,18.95012555,50.82079125,0
2020-07-22,142.906746,34.29761905,38.58482143,0,52.87549603,0,70.02430556,0,60.02083333,0,17.14880952,45.73015873,0
2020-07-23,73.89744735,72.52897611,71.16050486,0,50.63343615,0,42.42260867,0,46.52802241,136.8471247,13.68471247,105.372286,0
2020-07-24,121.7759175,48.20296733,0,0,58.35096045,0,253.699828,0,65.96195529,0,20.29598624,78.64694669,0
2020-07-25,48.15720671,24.07860335,40.9336257,0,81.86725141,0,120.3930168,0,42.13755587,115.5772961,13.24323184,80.66332124,0
2020-07-26,49.33064516,42.47916667,19.18413978,0,0,0,130.1780914,0,69.88508065,137.0295699,21.92473118,21.92473118,0
2020-07-27,69.75215881,39.42513324,34.8760794,59.13769986,0,0,151.6351278,0,47.00688963,0,15.16351278,0,0
2020-07-28,47.82264957,23.0573489,11.10168651,38.42891484,32.45108364,0,85.39758852,0,30.74313187,0,13.66361416,13.66361416,0
2020-07-29,53.13075258,37.70569538,68.55580978,22.28063818,37.70569538,0,171.3895245,0,44.56127636,0,11.99726671,82.26697174,0
2020-07-30,151.7968926,35.95189562,171.7701679,0,0,0,199.7327534,0,77.89577383,0,11.98396521,25.96525794,0
2020-07-31,102.4777898,20.49555796,0,0,99.24164908,0,107.8713577,0,76.58866397,0,5.393567885,42.0698295,0
2020-08-01,130.4494048,80.27655678,80.27655678,50.17284799,0,1003.45696,431.4864927,0,100.345696,0,10.0345696,70.24198718,0
2020-08-02,84.4615942,26.81320451,16.08792271,0,0,0,134.0660225,0,61.67037037,0,10.7252818,18.76924316,0
2020-08-03,67.95008416,30.39872186,20.56384126,32.18688197,0,0,89.40800547,0,61.69152378,0,16.98752104,23.24608142,0
2020-08-04,78.31522039,17.22934849,75.96576378,0,0,0,76.74891598,0,44.63967562,0,14.09673967,14.87989187,0
2020-08-05,190.0357143,53.21,0,49.40928571,0,0,70.31321429,0,106.42,0,13.3025,0,0
2020-08-06,68.93707094,58.72417154,30.63869819,53.61772184,0,0,114.8951182,0,48.51127214,255.322485,12.76612425,91.91609458,0
2020-08-07,84.15739821,67.58094099,126.2360973,0,51.00448377,0,127.5112094,0,48.45425958,0,12.75112094,76.50672565,0
2020-08-08,80.89003964,48.53402378,101.1125495,0,0,0,85.94566711,0,44.4895218,0,24.26701189,79.87891414,0
2020-08-09,125.1132318,32.52944027,20.01811709,36.28283722,60.05435126,0,26.27377868,0,57.55208663,0,17.51585245,71.31454212,0
2020-08-10,115.5156071,65.84389605,62.37842783,0,0,0,77.39545676,0,64.68873998,0,15.01702892,100.4985782,0
2020-08-11,47.26593393,19.46244338,52.82663204,0,0,278.0349055,22.24279244,0,25.02314149,147.3584999,5.56069811,44.48558488,0
